pnu,is_res,n_bld,gu,in_national
1111014000100280025,False,1,11110,False
1111014000100280101,False,1,11110,False
1111014000100280102,False,1,11110,False
1111014000100350009,True,1,11110,False
1111014000100350024,True,1,11110,False
1111014000100350070,False,1,11110,False
1111014000100350093,True,2,11110,False
1111014000100350099,True,1,11110,False
1111014000100350113,False,1,11110,False
1111014000100350117,False,1,11110,False
1111014000100350126,True,1,11110,False
1111014000100350144,False,1,11110,False
1111014000100350203,True,1,11110,False
1111014000100620041,True,1,11110,False
1111014000100630014,True,1,11110,False
1111014000100630026,True,1,11110,False
1111014000100730000,False,1,11110,False
1111014000100800006,False,1,11110,False
1111014000100880022,False,1,11110,False
1111014000100990000,False,2,11110,False
1111014000101060009,False,1,11110,False
1111014000101190002,False,1,11110,False
1111014000101240002,False,1,11110,False
1111014000101330009,False,1,11110,False
1111014000101570083,True,1,11110,False
1111014000101570088,True,1,11110,False
1111014000101580024,True,1,11110,False
1111014100100400000,True,1,11110,False
1111014100100760000,True,1,11110,False
1111014100100920000,False,1,11110,False
1111014100100940000,True,1,11110,False
1111014100101320000,False,1,11110,False
1111014100101480000,False,1,11110,False
1111014100101550000,False,1,11110,False
1111014200100340002,False,1,11110,False
1111014200100450000,True,1,11110,False
1111014200101220002,True,1,11110,False
1111014200101500000,False,1,11110,False
1111014300100230011,False,1,11110,False
1111014300100350000,False,1,11110,False
1111014300101260000,True,1,11110,False
1111014300101370004,True,1,11110,False
1111014300101380015,True,1,11110,False
1111014400100360000,False,1,11110,False
1111014400100700000,False,1,11110,False
1111014400100950000,False,1,11110,False
1111014400101080000,False,1,11110,False
1111014500100580000,False,1,11110,False
1111014600100010029,False,1,11110,False
1111014600100300001,False,1,11110,False
1111014600100330019,True,1,11110,False
1111014600100380000,True,1,11110,False
1111014600100490000,True,1,11110,False
1111014600100720001,False,1,11110,False
1111014600100790006,False,1,11110,False
1111014600101510001,False,2,11110,False
1111014600101550001,True,1,11110,False
1111014600101600000,True,1,11110,False
1111014600101610001,True,1,11110,False
1111014600101700004,False,1,11110,False
1111014600101730000,False,1,11110,False
1111014700100080000,True,1,11110,False
1111014700100320010,False,1,11110,False
1111014700100320021,False,1,11110,False
1111014700100530001,True,1,11110,False
1111014700100840019,False,1,11110,False
1111014700101100001,False,1,11110,False
1111014800100080002,True,1,11110,False
1111014800100490001,True,1,11110,False
1111014800100670024,True,1,11110,False
1111014800100750004,True,1,11110,False
1111014800100770001,True,2,11110,False
1111014800100810000,False,1,11110,False
1111014800101010003,True,1,11110,False
1111014800101010014,True,1,11110,False
1111014800101040004,True,2,11110,False
1111014800101170001,True,1,11110,False
1111014800101290002,True,1,11110,False
1111014800101330005,False,1,11110,False
1111014800101330006,True,2,11110,False
1111014800101400022,True,1,11110,False
1111014800101400035,True,1,11110,False
1111014800101400039,True,1,11110,False
1111014800101420001,True,1,11110,False
1111014800101440001,False,1,11110,False
1111014800101460001,False,4,11110,False
1111014900100080002,True,1,11110,False
1111014900100090006,False,1,11110,False
1111014900100090008,False,2,11110,False
1111014900100250000,True,1,11110,False
1111014900100270000,True,1,11110,False
1111014900100340000,False,1,11110,False
1111014900100450000,True,1,11110,False
1111014900100530001,True,1,11110,False
1111014900100530002,True,1,11110,False
1111014900100570000,True,1,11110,False
1111014900100610001,True,1,11110,False
1111014900100730000,True,1,11110,False
1111014900100740001,True,1,11110,False
1111014900100810000,True,1,11110,False
1111014900100850000,False,1,11110,False
1111014900100920000,True,3,11110,False
1111014900101060002,False,1,11110,False
1111014900101110003,False,1,11110,False
1111014900101350009,True,1,11110,False
1111014900101350023,True,1,11110,False
1111014900101350024,True,1,11110,False
1111014900101350099,True,1,11110,False
1111014900101350103,True,1,11110,False
1111014900101360003,False,1,11110,False
1111014900101450000,False,1,11110,False
1111014900101580001,False,1,11110,False
1111014900101590000,False,1,11110,False
1111014900101600000,False,1,11110,False
1111015100100020000,False,1,11110,False
1111015100100590001,False,1,11110,False
1111015100100640001,False,1,11110,False
1111015100101260000,True,1,11110,False
1111015100101750000,False,1,11110,False
1111015200100070002,False,1,11110,False
1111015200100190001,False,1,11110,False
1111015200100410000,False,1,11110,False
1111015200100430001,False,2,11110,False
1111015200100950001,False,1,11110,False
1111015200100980001,False,1,11110,False
1111015200101110000,True,1,11110,False
1111015200101160000,False,1,11110,False
1111015200101250000,False,3,11110,False
1111015200101260001,False,1,11110,False
1111015200101260002,False,1,11110,False
1111015200101270000,False,1,11110,False
1111015200101360000,False,2,11110,False
1111015200101590003,False,1,11110,False
1111015200101620000,False,1,11110,False
1111015200101630000,False,1,11110,False
1111015200101690000,False,1,11110,False
1111015300100080000,False,1,11110,False
1111015300100130000,False,1,11110,False
1111015300100210000,False,1,11110,False
1111015300100210003,False,1,11110,False
1111015300100210004,False,1,11110,False
1111015300100230000,False,1,11110,False
1111015300100240000,True,1,11110,False
1111015300100390003,False,1,11110,False
1111015300100440001,False,1,11110,False
1111015300100510000,False,2,11110,False
1111015300100590000,False,1,11110,False
1111015300100740002,True,1,11110,False
1111015300100750002,False,1,11110,False
1111015300100750004,False,1,11110,False
1111015300100750005,False,1,11110,False
1111015300100760002,False,1,11110,False
1111015300100780000,False,1,11110,False
1111015300100860000,True,1,11110,False
1111015300100920000,False,1,11110,False
1111015300101020000,False,1,11110,False
1111015300101110000,False,1,11110,False
1111015300101330000,False,1,11110,False
1111015300101370000,False,1,11110,False
1111015300101490001,True,1,11110,False
1111015300101630000,False,1,11110,False
1111015400100280000,False,1,11110,False
1111015400100720007,False,2,11110,False
1111015400100760000,True,1,11110,False
1111015400100770000,False,1,11110,False
1111015400101030001,False,1,11110,False
1111015400101390000,False,1,11110,False
1111015400101560001,False,3,11110,False
1111015400101890001,False,1,11110,False
1111015400102330005,False,1,11110,False
1111015500100040003,False,1,11110,False
1111015500100140002,False,1,11110,False
1111015500100180001,False,1,11110,False
1111015500100420000,True,2,11110,False
1111015500100570000,False,1,11110,False
1111015500100790002,False,1,11110,False
1111015500100940002,False,1,11110,False
1111015500100970001,False,1,11110,False
