NTFC_SN,area_ha,n_seo,n_nat,d_seo,d_nat
11000NTC201312057027,6.403949385740053,23.0,0.0,3.5915336950062535,0.0
11170NTC202504010003,10.989517365338042,107.0,2.0,9.736551337321504,0.18199161378171036
11000NTC199603115874,5.631228867151679,46.0,35.0,8.168732098304357,6.215339640014185
11000NTC199911139163,5.478518000148138,33.0,13.0,6.023526800333172,2.3729044971009463
11000NTC201504307468,4.233672876866154,110.0,0.0,25.982168013279313,0.0
11000NTC200003159431,1.986345685320847,9.0,6.0,4.530933395184063,3.0206222634560422
11000NTC202105130003,0.29624318886936407,4.0,1.0,13.502420140919767,3.375605035229942
11000NTC198604097747,2.5401816771103887,15.0,5.0,5.905089441107776,1.9683631470359255
11000NTC200409106861,2.603122679911746,23.0,14.0,8.835542088542585,5.378156053895487
11000NTC201805240001,0.16090994154049282,8.0,0.0,49.71725129852719,0.0
11000NTC201801110002,2.988416017166912,11.0,2.0,3.6808797492754226,0.6692508635046224
11000NTC199702176716,16.38015679000855,684.0,576.0,41.757842050524296,35.16449856886256
11560NTC202008240001,2.7847363880505878,1.0,1.0,0.35910041765211204,0.35910041765211204
11560NTC201912160003,7.678959373944887,22.0,0.0,2.864971531773844,0.0
11000NTC202403010001,8.45863106065814,468.0,442.0,55.328101751205395,52.254318320582875
